2026-06-23 16:22:36.394 [restartedMain] INFO  NotifyApplication - Starting NotifyApplication using Java 17.0.19 with PID 27828 (C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\build\classes\java\main started by 20200161 in C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify)
2026-06-23 16:22:36.401 [restartedMain] INFO  NotifyApplication - The following 1 profile is active: "local"
2026-06-23 16:22:37.064 [restartedMain] INFO  NotifyApplication - Started NotifyApplication in 1.078 seconds (process running for 1.513)
2026-06-23 16:22:37.073 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:22:37.075 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:23:37.079 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:23:37.084 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:23:37.091 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 490번째 실행, slotTime: 2026-06-23T16:23:01
2026-06-23 16:24:37.374 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:24:37.378 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:25:37.379 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:25:37.381 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:25:37.381 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 491번째 실행, slotTime: 2026-06-23T16:25:01
2026-06-23 16:26:37.390 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:26:37.394 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:27:37.398 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
